Res.,Cartel,Oponente,Método,Evento,Data,Round,Tempo,Local,Notas
Vitória,10–1–1, Yoshinori Horie,Nocaute técnico (chute na cabeça),UFC 240: Holloway vs. Edgar,27/07/2019,3,4:09," Edmonton, Alberta",Performance da Noite.
Vitória,9–1–1, Kyle Bochniak,Decisão (dividida),UFC 231: Holloway vs. Ortega,08/12/2018,3,5:00," Toronto, Ontario",
Vitória,8–1–1, Austin Arnett,Decisão (unânime),UFC on Fox: Alvarez vs. Poirier II,28/07/2018,3,5:00," Calgary, Alberta",
Derrota,7–1–1, Danny Henry,Finalização Técnica (guilhotina),UFC Fight Night: Werdum vs. Volkov,17/03/2018,1,0:39, Londres,
Vitória,7–0–1, Steven Siler,Decisão (unânime),WSOF 35,18/03/2017,3,5:00," Verona, New York",
Vitória,6–0–1, Marat Magomedov,Nocaute técnico (socos),WSOF 32,30/07/2016,2,2:03," Everett, Washington",
Empate,5–0–1, Marat Magomedov,Empate (majoritário),WSOF 26,18/12/2015,3,5:00," Las Vegas, Nevada",
Vitória,5–0, Chuka Willis,Nocaute técnico (joelhadas e cotoveladas),WSOF 21,05/06/2015,2,2:55," Edmonton, Alberta",
Vitória,4–0, Tristan Johnson,Nocaute (soco),WSOF 18,12/02/2015,3,1:59," Edmonton, Alberta",
Vitória,3–0, Mike Malott,Nocaute técnico (socos e cotoveladas),WSOF 14,11/10/2014,1,4:13," Edmonton, Alberta",
Vitória,2–0, Jake Macdonald,Nocaute (socos),WSOF Canada 2,07/06/2014,2,0:18," Edmonton, Alberta",
Vitória,1–0, Behrang Yousefi,Nocaute (soco),World Series of FightingCanada 1,21/02/2014,1,1:07," Edmonton, Alberta",Estreia nos Penas.
