Res.,Cartel,Oponente,Método,Evento,Data,Round,Tempo,Local,Notas
Vitória,19-0, Yoel Romero,Decisão (unânime),UFC 248: Adesanya vs. Romero,07/03/2020,5,5:00," Las Vegas, Nevada",Defendeu o Cinturão Peso Médio do UFC.
Vitória,18-0, Robert Whittaker,Nocaute (socos),UFC 243: Whittaker vs. Adesanya,05/10/2019,2,3:33, Melbourne,Ganhou e unificou o Cinturão Peso Médio do UFC; Performance da Noite.
Vitória,17-0, Kelvin Gastelum,Decisão (unânime),UFC 236: Holloway vs. Poirier 2,13/04/2019,5,5:00," Atlanta, Georgia",Ganhou o Cinturão Peso Médio Interino do UFC; Luta da Noite.
Vitória,16-0, Anderson Silva,Decisão (unânime),UFC 234: Adesanya vs. Silva,10/02/2019,3,5:00, Melbourne,Luta da Noite.
Vitória,15-0, Derek Brunson,Nocaute Técnico (joelhada na cabeça e socos),UFC 230: Cormier vs. Lewis,03/11/2018,1,4:51," Cidade de Nova York, Nova York",Performance da Noite.
Vitória,14-0, Brad Tavares,Decisão (unânime),The Ultimate Fighter: Undefeated,06/07/2018,5,5:00," Las Vegas, Nevada",Performance da Noite.
Vitória,13-0, Marvin Vettori,Decisão (dividida),UFC on Fox: Poirier vs. Gaethje,14/04/2018,3,5:00," Glendale, Arizona",
Vitória,12-0, Rob Wilkinson,Nocaute Técnico (joelhadas na cabeça e socos),UFC 221: Romero vs. Rockhold,11/02/2018,2,3:37, Perth,Estreia no UFC. Performance da Noite
Vitória,11-0, Stuart Dare,Nocaute (chute na cabeça),Hex Fighting Series 12,24/11/2017,1,4:53, Melbourne,Ganhou o Cinturão Peso Médio Vago do Hex Fighting Series.
Vitória,10-0, Melvin Guillard,Nocaute Técnico (socos),Australia Fighting Championship 20,28/07/2017,1,4:49, Melbourne,Ganhou o Cinturão Peso Médio do AFC.
Vitória,9-0, Murad Kuramagomedov,Nocaute Técnico (socos),Wu Lin Feng: E.P.I.C. 4,28/05/2016,2,1:05, Henan,
Vitória,8-0, Andrew Flores Smith,Nocaute Técnico (interrupção médica),Glory of Heroes 2,07/05/2016,1,5:00, Shenzhen,
Vitória,7-0, Dibir Zagirov,Nocaute Técnico (socos),Wu Lin Feng: E.P.I.C. 2,13/03/2016,2,2:23, Henan,
Vitória,6-0, Vladimir Katykhin,Nocaute Técnico (interrupção médica),Wu Lin Feng: E.P.I.C. 1,13/01/2016,2,N/A, Henan,
Vitória,5-0, Gele Qing,Nocaute Técnico (cotoveladas),Wu Lin Feng 2015: New Zealand vs. China,05/09/2015,2,3:37, Auckland,
Vitória,4-0, Maui Tuigamala,Nocaute Técnico (chute no tronco),Fair Play Fighting 1,05/09/2015,2,1:25, Auckland,
Vitória,3-0, Kenan Song,Nocaute Técnico (socos),The Legend of Emei 3,28/08/2015,1,1:59, Shahe,
Vitória,2-0, John Vake,Nocaute Técnico (socos),Shuriken MMA: Best of the Best,15/06/2013,2,3:10, Auckland,
Vitória,1-0, James Griffiths,Nocaute Técnico (socos),Supremacy Fighting Championship 9,24/03/2012,1,2:09, Auckland,
