Res.,Cartel,Oponente,Método,Evento,Data,Round,Tempo,Local,Notas
Empate,18–4–1, Lerone Murphy,Empate (dividido),UFC 242: Khabib vs. Poirier,07/09/2019,3,5:00, Abu Dhabi,
Derrota,18–4, Renato Moicano,Decisão (dividida),UFC 198: Werdum vs. Miocic,14/05/2016,3,5:00," Curitiba, Paraná",
Vitória,18–3, Phillipe Nover,Decisão (dividida),UFC Fight Night: Namajunas vs. VanZant,10/12/2015,3,5:00," Las Vegas, Nevada",
Vitória,17–3, Ernest Chavez,Nocaute técnico (socos),UFC Fight Night: Nelson vs. Story,04/10/2014,1,4:21, Estocolmo,
Vitória,16–3, Douglas Silva de Andrade,Decisão (unânime),UFC Fight Night: Machida vs. Mousasi,15/02/2014,3,5:00, Jaraguá do Sul,Estreia no UFC.
Vitória,15–3, Vaso Bakočević,Nocaute (chute rodado),Fight Nights - Battle of Moscow 13,26/10/2013,1,4:30, Moscou,Estreia nos Penas.
Vitória,14–3, Denys Pidnebesnyi,Decisão (unânime),CWFC 58,24/08/2013,3,5:00, Grozny,
Vitória,13–3, Kuat Khamitov,Decisão (dividida),Alash Pride - Great Battle,30/03/2013,2,5:00, Almaty,
Vitória,12–3, Harun Kina,Nocaute técnico (socos),Fight Nights - Battle of Moscow 10,23/02/2013,1,2:30, Moscou,
Vitória,11–3, Romano De Los Reyes,Decisão (unânime),Fight Nights - Battle of Moscow 8,03/11/2012,2,5:00, Moscou,
Vitória,10–3, Anatoliy Pokrovsky,Decisão (unânime),League S-70: Russian Championship Finals,11/08/2012,1,1:43, Sochi,
Derrota,9–3, Akhmet Aliev,Nocaute (chute na cabeça),League S-70: Russian Championship SF,25/05/2012,1,3:19, Moscou,
Vitória,9–2, Ivan Lapin,Decisão (dividida),League S-70: Russian Championship 3rd Round,06/04/2012,3,5:00, Moscou,Volta aos Leves.
Vitória,8–2, Risim Mislimov,Decisão (unânime),MMA Corona Cup 20,17/02/2012,3,5:00, Moscou,Estreia nos Meio-Médios.
Derrota,7–2, Anton Telepnev,Decisão (dividida),ProFC 22,17/12/2010,3,5:00, Rostov,
Vitória,7–1, Murad Abdulaev,Nocaute técnico (interrupção médica),ProFC - Russia Cup Stage 1,13/11/2010,1,5:00, Taganrog,Final do torneio dos leves da Russia Cup.
Vitória,6–1, Rasul Shovhalov,Decisão (unânime),ProFC - Russia Cup Stage 1,13/11/2010,2,5:00, Taganrog,Semifinal do torneio dos leves da Russia Cup.
Derrota,5–1, Murad Machaev,Finalização (mata-leão),Fight Nights - Battle of Moscow 1,05/06/2010,1,1:17, Moscou,Final do torneio dos leves do Battle of Moscow.
Vitória,5–0, Danil Turinghe,Nocaute técnico (socos),Fight Nights - Battle of Moscow 1,05/06/2010,1,1:26, Moscou,Semifinal do torneio dos leves do Battle of Moscow.
Vitória,4–0, Evgeniy Slonskiy,Decisão (unânime),ProFC - Commonwealth Cup,23/04/2010,2,5:00, Moscou,
Vitória,3–0, Viktor Finagin,Finalização (mata-leão),Pankration Atrium Cup 2,10/03/2010,2,N/A, Moscou,Final do torneio dos leves do Pankration Atrium Cup 2.
Win,2–0, Roman Markovich,Decisão (unânime),Pankration Atrium Cup 2,10/03/2010,3,5:00, Moscou,Semifinal do torneio dos leves do Pankration Atrium Cup 2..
Vitória,1–0, Isa Musaev,Decisão (unânime),Pankration Atrium Cup 2,10/03/2010,3,5:00, Moscou,Estreia nos Leves; Round de abertura do torneio dos leves do Pankration Atrium Cup 2.
