Res.,Cartel,Oponente,Método,Evento,Data,Round,Tempo,Local,Notas
Derrota,20–8 (1), Brandon Moreno,Decisão (unânime),UFC 245: Usman vs. Covington,14/12/2019,3,5:00," Las Vegas, Nevada",
Vitória,20–7 (1), Mark De La Rosa,Decisão (unânime),UFC Fight Night: Andrade vs. Zhang,31/08/2019,3,5:00, Shenzhen,
Vitória,19–7 (1), Raulian Paiva,Decisão (dividida),UFC 234: Adesanya vs. Silva,09/02/2019,3,5:00, Melbourne,
Vitória,18–7 (1), Elias Garcia,Decisão (unânime),UFC Fight Night: dos Santos vs. Tuivasa,01/12/2018,3,5:00, Adelaide,Volta aos Moscas; Luta da Noite.
Vitória,17–7 (1), Xiaoyu Shi,Finalização (mata-leão),Glory of Heroes - New Zealand vs. China,04/03/2018,1,N/A, Auckland,
Vitória,16–7 (1), Huoyixibai Chuhayifu,Decisão (unânime),W.A.R.S. 19,11/11/207,3,5:00, Zhengzhou,
Vitória,15–7 (1), Qileng Aori,Decisão (unânime),W.A.R.S. 14,20/05/2017,3,5:00, Zhengzhou,
Vitória,14–7 (1), Ze Wu,Nocaute técnico (socos),W.A.R.S. 13,22/04/2017,1,2:01, Zhengzhou,
Vitória,13–7 (1), Rodolfo Marques,Nocaute (soco),Hex Fight Series 8,31/03/2017,3,2:59, Melbourne,Volta aos Galos.
Derrota,12–7 (1), Tatsumitsu Wada,Decisão (unânime),Rizin World Grand Prix 2016: 2nd Round,29/12/2016,3,5:00, Saitama,
Vitória,12–6 (1), Crisanto Pitpitunge,Nocaute técnico (socos),Pacific Xtreme Combat 52,18/03/2016,3,0:00, Mangilao,
Vitória,11–6 (1), Josh Duenas,Nocaute técnico (socos),Pacific Xtreme Combat 50,04/12/2015,1,0:22, Mangilao,
Vitória,10–6 (1), Shantaram Maharaj,Nocaute técnico (socos),Bragging Rights 7,27/09/2015,1,1:33, Perth,Ganhou o Cinturão Peso Mosca do KOZ.
Vitória,9–6 (1), Dindo Camansa,Nocaute técnico (socos),Malaysian Invasion: Mixed Martial A'rr,01/06/2015,1,0:12, Andaman Sea,Estreia nos Moscas.
Vitória,8–6 (1), Ik Hwan Jang,Nocaute técnico (socos),PRO Fighting 10,09/05/2015,1,0:08, Taipei,
Derrota,7–6 (1), Jumayi Ayideng,Decisão (unânime),Kunlun Fight 18,18/01/2015,3,5:00, Nanjing,
Derrota,7–5 (1), Mark Striegl,Finalização (mata-leão),Malaysian Invasion 2: Grand Finals,25/10/2014,1,2:10, Kuala Lumpur,
Derrota,7–4 (1), Gustavo Falciroli,Finalização (estrangulamento brabo),AFC 9,17/05/2014,1,4:55, Melbourne,Pelo Cinturão Peso Galo do AFC.
Vitória,7–3 (1), Tieyin Wu,Decisão (unânime),Kunlun Fight 1,25/01/2014,3,5:00, Pattaya,
NC,6–3 (1), Gustavo Falciroli,Sem Resultado,AFC 7,14/12/2013,2,3:20, Melbourne,Kara-France foi nocauteado e caiu pelas cordas do ring; Mudado para “sem resultado” de forma controversa.
Vitória,6–3, Tieyin Wu,Finalização (guilhotina),Bandung Fighting Club,23/10/2013,1,1:54, Manila,
Vitória,5–3, Yudi Cahyadi,Decisão (unânime),Bandung Fighting Club,29/09/2013,3,5:00, Bandung,
Vitória,4–3, Ho-Joon Kim,Nocaute (chute na cabeça),PRO Fighting 8,04/08/2013,1,3:44, Taipei,
Derrota,3–3, Danaa Batgerel,Decisão (unânime),Legend Fighting Championship 11,27/04/2013,3,5:00, Kuala Lumpur,
Vitória,3–2, Caleb Lally,Decisão (unânime),Rage in the Cage: MMA Fighting Championship,03/10/2012,3,5:00, Tauranga,
Vitória,2–2, Sam Chan,Finalização (guilhotina),Legend Fighting Championship 10,24/08/2012,1,3:21, Hong Kong,
Derrota,1–2, Agustin Delarmino,Nocaute (socos),Legend Fighting Championship 8,30/03/2012,3,0:29, Hong Kong,
Derrota,1–1, Chad George,Nocaute (soco),The Cage 2: USA vs. New Zealand,02/12/2011,1,2:04, Whakatane,
Vitória,1–0, Ray Kaitiana,Nocaute técnico (socos),Supremacy Cage Fighting 7,27/11/2010,1,1:26, Auckland,Estreia nos Galos.
